app_state;burst_size;pmf
0;200;0.024943310657596373
0;250;0.01020408163265306
0;550;0.671201814058957
0;600;0.0011337868480725624
0;1000;0.005668934240362812
0;1050;0.2834467120181406
0;1100;0.0011337868480725624
0;1500;0.0022675736961451248
1;200;0.020361990950226245
1;250;0.02262443438914027
1;550;0.670814479638009
1;600;0.0011312217194570137
1;1000;0.013574660633484163
1;1050;0.27149321266968324
2;200;0.03408801831595014
2;250;0.020859832103790384
2;500;0.0002543881963876876
2;550;0.6109132536250318
2;600;0.0007631645891630628
2;900;0.019460697023658102
2;1000;0.014627321292292038
2;1050;0.2897481556855762
2;1400;0.0010175527855507504
2;1500;0.0002543881963876876
2;1550;0.0001271940981938438
2;1750;0.007758839989824472
2;1900;0.0001271940981938438
3;200;0.0035087719298245615
3;550;0.06783625730994151
3;900;0.6456140350877193
3;1050;0.01871345029239766
3;1250;0.0011695906432748538
3;1400;0.012865497076023392
3;1750;0.25029239766081873
4;900;0.0228310502283105
4;1200;0.17168949771689498
4;1250;0.4511415525114155
4;1550;0.015525114155251141
4;1750;0.0228310502283105
4;1900;0.0018264840182648401
4;2400;0.26210045662100456
4;2450;0.052054794520547946
5;200;0.010272071071626874
5;250;0.014714047751249307
5;550;0.25458078845086063
5;600;0.000277623542476402
5;900;0.42226540810660745
5;1000;0.005274847307051638
5;1050;0.11438089950027762
5;1250;0.000277623542476402
5;1300;0.000277623542476402
5;1400;0.010827318156579679
5;1750;0.1665741254858412
5;1900;0.000277623542476402
6;250;0.0011111111111111111
6;550;0.0011111111111111111
6;900;0.06
6;1200;0.17888888888888888
6;1250;0.43
6;1400;0.0011111111111111111
6;1550;0.013333333333333334
6;1750;0.03666666666666667
6;1800;0.0044444444444444444
6;2300;0.0011111111111111111
6;2400;0.10333333333333333
6;2450;0.1688888888888889
7;50;0.0003699593044765076
7;200;0.040695523492415835
7;250;0.022197558268590455
7;550;0.5945246022937477
7;600;0.0014798372179060304
7;900;0.0014798372179060304
7;1000;0.012578616352201259
7;1050;0.3259341472438032
7;1500;0.0007399186089530152
